Point,Test,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region,fW,current,ind,Rd,Cs,Rs
1,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-0.953,-1.492,-6.577,-5.194,-3.432,-9.067,-4.888,-0.3255,-13.14,-6.672,0.5485,-18.86,-13.04,-5.089,0,0,0,2,2,0.000003,0.0008,0.000000003,625,6.668E-14,700
2,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-12.06,-9.523,-6.581,-16.36,-8.556,-9.077,-18.48,-8.674,-13.14,-22.95,-13.1,-18.86,-30.18,-22.57,0,0,0,1,2,0.000003231,0.0008505,2.18E-09,983.4,1.322E-13,786.2
3,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-9.558,-19.02,-6.579,-15.04,-23.44,-9.068,-15.2,-21.29,-13.13,-14.44,-15.76,-18.88,-16.82,-13.87,0,0,0,2,2,0.000004495,0.002167,1.19E-09,183.8,3.585E-14,709.9
4,ECE740_tb_channel_CTLE_ML_1,,-0.01969,-36.58,-32.48,-6.582,-42.92,-31.25,-9.078,-45.32,-33.6,-13.15,-49.06,-38.69,-18.86,-54.01,-46.98,0,0,0,1,2,0.000003452,0.001467,9.631E-10,1080,4.097E-13,720.8
5,ECE740_tb_channel_CTLE_ML_1,,-0.0196,-51.22,-43.28,-6.595,-40.96,-30.62,-9.106,-43.08,-34,-13.17,-49.6,-45.76,-18.87,-59.38,-61.55,0,0,0,1,2,0.000007424,0.001899,1.721E-09,1182,1.219E-13,467.2
6,ECE740_tb_channel_CTLE_ML_1,,-0.01965,-11.76,-7.382,-6.586,-17.74,-10.94,-9.093,-20.37,-11.56,-13.17,-26.19,-18.88,-18.88,-35.57,-32.99,0,0,0,1,2,0.000005514,0.00133,2.757E-09,628.8,1.36E-13,358.1
7,ECE740_tb_channel_CTLE_ML_1,,-0.01975,-15.55,-16.61,-6.58,-20.47,-18.87,-9.069,-22.55,-20.19,-13.13,-26.49,-23.94,-18.82,-32.21,-29.89,0,0,0,1,2,0.000001089,0.001387,7.576E-10,880.2,1.603E-13,596.6
8,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-0.4291,-0.599,-6.579,-4.001,-1.146,-9.07,-5.999,-2.647,-13.13,-9.742,-6.085,-18.83,-14.89,-10.68,0,0,0,2,2,0.000002044,0.0009999,1.53E-09,453.9,4.996E-13,273.9
9,ECE740_tb_channel_CTLE_ML_1,,-0.01964,2.41,4.858,-6.586,-4.353,-2.061,-9.093,-7.418,-5.589,-13.17,-13.27,-13.06,-18.88,-22.52,-25.81,0,0,0,2,2,0.000005984,0.001728,5.617E-10,184.6,3.028E-13,36.65
10,ECE740_tb_channel_CTLE_ML_1,,-0.01974,-15.01,-30.02,-6.576,-9.586,-12.68,-9.071,-10.15,-11.34,-13.14,-13.51,-13.95,-18.87,-19.15,-19.38,0,0,0,2,2,0.000004159,0.0008816,9.154E-10,157.8,2.235E-13,1272
