Point,Test,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region,fW,current,ind,Rd,Cs,Rs
1,ECE740_tb_channel_CTLE_ML_1,,-0.01969,-27.36,-28.02,-6.582,-33.11,-29.55,-9.079,-35.28,-28.57,-13.15,-39.68,-31.65,-18.87,-46.68,-40.51,0,0,0,1,2,0.000003618,0.002429,1.708E-09,541.8,1.098E-13,663.4
2,ECE740_tb_channel_CTLE_ML_1,,-0.01961,-53.59,-48.55,-6.6,-38.81,-28.04,-9.11,-42.58,-35.18,-13.17,-50.35,-49.01,-18.87,-60.87,-65.62,0,0,0,1,2,0.000008691,0.002096,1.83E-09,1264,1.262E-13,863.9
3,ECE740_tb_channel_CTLE_ML_1,,-0.01974,-20.85,-41.72,-6.578,-15.33,-24.18,-9.071,-16.17,-23.38,-13.13,-16.88,-20.77,-18.83,-17.36,-16.2,0,0,0,2,2,0.000003149,0.001579,1.157E-09,61.84,7.072E-13,983
4,ECE740_tb_channel_CTLE_ML_1,,-0.01968,2.26,4.632,-6.581,-3.443,-0.1983,-9.08,-5.436,-1.614,-13.16,-10.07,-6.587,-18.88,-18.03,-16.54,0,0,0,2,2,0.000004058,0.0013,7.074E-10,288.6,5.458E-13,83.81
5,ECE740_tb_channel_CTLE_ML_1,,-0.01961,-9.836,1.73,-6.591,-16.86,-5.01,-9.102,-20.73,-11.42,-13.17,-27.92,-23.37,-18.88,-38.35,-39.46,0,0,0,1,2,0.000006954,0.0006438,2.603E-09,1183,6.195E-13,123.2
6,ECE740_tb_channel_CTLE_ML_1,,-0.01961,-8.21,-3.437,-6.592,-15.36,-10.07,-9.103,-19.29,-13.71,-13.17,-26.43,-23.5,-18.87,-36.81,-39.45,0,0,0,1,2,0.000007425,0.001045,1.269E-09,715.1,5.581E-14,423.1
7,ECE740_tb_channel_CTLE_ML_1,,-0.01963,-48.76,-47.86,-6.588,-37.02,-30.33,-9.096,-38.86,-28.68,-13.17,-44.36,-37.14,-18.88,-53.49,-52.27,0,0,0,1,2,0.000005928,0.001944,1.795E-09,1064,6.461E-14,1298
8,ECE740_tb_channel_CTLE_ML_1,,-0.0199,-35.81,-32.14,-6.592,-63.31,-50.7,-9.083,-59.86,-47.5,-13.15,-57.83,-46.46,-18.85,-58.39,-49.64,0,0,0,1,2,0.000002874,0.002375,2.908E-09,1420,9.065E-13,1403
9,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-1.508,-2.554,-6.577,-1.968,3.23,-9.071,-3.271,3.216,-13.14,-6.882,0.2486,-18.85,-12.85,-5.232,0,0,0,2,2,0.000002527,0.0008195,2.798E-09,625.9,2.14E-13,730.4
10,ECE740_tb_channel_CTLE_ML_1,,-0.01974,-10.62,-8.522,-6.58,-15.69,-10.87,-9.07,-17.93,-12.55,-13.13,-21.83,-16,-18.82,-27.29,-20.49,0,0,0,1,2,0.000001528,0.001255,2.984E-09,789.7,3.637E-13,338.9
11,ECE740_tb_channel_CTLE_ML_1,,-0.01974,-9.657,-10.89,-6.58,-11.27,-4.278,-9.07,-13.75,-6.704,-13.13,-17.92,-11.03,-18.82,-24.02,-17.74,0,0,0,1,2,0.000001572,0.0008773,8.787E-10,973,5.454E-13,1368
12,ECE740_tb_channel_CTLE_ML_1,,-0.01967,-22.28,-11.45,-6.583,-28.97,-17.72,-9.083,-31.8,-20.79,-13.16,-36.87,-27.71,-18.87,-44.91,-39.68,0,0,0,1,2,0.000004258,0.001171,1.886E-09,921.2,7.991E-13,61.2
13,ECE740_tb_channel_CTLE_ML_1,,-0.01968,-0.3769,3.128,-6.585,-1.826,9.495,-9.093,-5.179,5.452,-13.17,-11.39,-3.004,-18.89,-20.74,-16.51,0,0,0,1,2,0.000004572,0.0006461,2.579E-09,985.7,7.979E-13,765.3
14,ECE740_tb_channel_CTLE_ML_1,,-0.01957,-29.71,-20.1,-6.599,-38.52,-28.58,-9.11,-43.9,-37.23,-13.17,-52.05,-50.78,-18.87,-61.76,-66.18,0,0,0,1,2,0.000008663,0.001846,2.202E-09,651.2,4.421E-13,135.4
15,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-12.04,-24.08,-6.579,-6.828,-7.164,-9.077,-9.085,-9.17,-13.15,-13.2,-13.28,-18.87,-19.38,-19.77,0,0,0,2,2,0.000004358,0.0006761,1.016E-09,187.3,6.652E-13,1105
16,ECE740_tb_channel_CTLE_ML_1,,-0.01966,-38.49,-27.12,-6.584,-45.91,-34.08,-9.087,-49.04,-37.66,-13.16,-53.04,-44.27,-18.88,-58.15,-54.07,0,0,0,1,2,0.000004637,0.001798,1.126E-09,968.8,5.63E-13,80.53
17,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-32.07,-33.06,-6.58,-35.5,-29.46,-9.071,-37.93,-31.77,-13.13,-41.8,-35.41,-18.82,-46.91,-39.86,0,0,0,1,2,0.000001749,0.002251,2.767E-09,796.2,8.436E-13,988
18,ECE740_tb_channel_CTLE_ML_1,,-0.01961,-28.73,-18.65,-6.591,-36.49,-26.18,-9.101,-41.11,-31.9,-13.17,-48.55,-43.45,-18.88,-57.79,-58.16,0,0,0,1,2,0.000006736,0.001418,2.79E-09,829.6,2.201E-13,145.2
19,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-6.295,-11.97,-6.585,-0.9498,6.127,-9.102,-4.196,2.523,-13.18,-10.48,-5.399,-18.89,-19.74,-17.89,0,0,0,2,2,0.000005634,0.001893,2.209E-09,296.4,9.944E-13,904
20,ECE740_tb_channel_CTLE_ML_1,,-0.01965,-11.41,-10.47,-6.586,-14.41,-5.478,-9.095,-17.61,-9.348,-13.17,-23.9,-18.67,-18.88,-33.71,-33.39,0,0,0,1,2,0.000005439,0.001869,1.373E-10,451.1,6.105E-13,453.5
21,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-31.58,-23.13,-6.58,-38.19,-29.33,-9.071,-40.65,-31.64,-13.13,-44.5,-35.66,-18.83,-49.44,-41.54,0,0,0,1,2,0.00000187,0.001511,8.453E-10,1123,8.659E-13,63.42
22,ECE740_tb_channel_CTLE_ML_1,,-0.01958,-55.41,-49.98,-6.601,-54.92,-43.25,-9.111,-58.12,-51.4,-13.17,-62.88,-61.91,-18.87,-68.9,-73.91,0,0,0,1,2,0.000008793,0.002415,7.933E-10,995.8,7.006E-13,656.9
23,ECE740_tb_channel_CTLE_ML_1,,-0.01971,-30.45,-22.69,-6.581,-36.95,-26.03,-9.074,-39.44,-28.2,-13.14,-43.52,-32.91,-18.84,-49.17,-40.78,0,0,0,1,2,0.000002738,0.001147,1.058E-09,1212,4.232E-13,309.9
24,ECE740_tb_channel_CTLE_ML_1,,-0.01962,-9.493,-12.11,-6.595,-9.675,-0.4579,-9.111,-14.08,-6.63,-13.18,-22.3,-20.18,-18.87,-33.29,-36.92,0,0,0,1,2,0.000007849,0.001447,1.261E-09,498.7,2.628E-13,953.1
25,ECE740_tb_channel_CTLE_ML_1,,-0.01957,5.183,11.86,-6.598,-0.8955,7.013,-9.117,-5.48,0.7643,-13.18,-14.18,-12.74,-18.87,-25.53,-29.96,0,0,0,2,2,0.000007899,0.001029,2.991E-10,537.5,3.206E-13,171.9
26,ECE740_tb_channel_CTLE_ML_1,,-0.01969,-26.52,-24.86,-6.582,-34.09,-29.51,-9.078,-37.89,-30.12,-13.15,-43.23,-33.62,-18.86,-49.59,-42.56,0,0,0,1,2,0.000003474,0.000883,5.673E-10,1230,4.244E-14,1246
27,ECE740_tb_channel_CTLE_ML_1,,-0.01968,-1.561,-3.147,-6.581,-7.218,-7.903,-9.082,-8.751,-8.447,-13.16,-12.95,-12.66,-18.88,-20.69,-22.3,0,0,0,2,2,0.000005322,0.001305,8.253E-10,161.9,3.361E-13,104.3
28,ECE740_tb_channel_CTLE_ML_1,,-0.01974,-30.75,-29.38,-6.58,-37.11,-35.7,-9.07,-39.07,-37.55,-13.13,-41.68,-39.79,-18.82,-45.09,-42.27,0,0,0,1,2,0.000001579,0.001763,1.112E-09,964.3,9.175E-15,655.7
29,ECE740_tb_channel_CTLE_ML_1,,-0.01964,-49.64,-49.32,-6.587,-51.34,-38.8,-9.093,-53.28,-41.69,-13.17,-56.44,-49,-18.88,-61.39,-59.43,0,0,0,1,2,0.000005485,0.002259,1.284E-09,965,2.648E-13,1288
30,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-19.77,-39.54,-6.579,-18.3,-30.06,-9.08,-14.32,-19.62,-13.18,-15.83,-18.47,-18.87,-25.37,-31.94,0,0,0,2,2,0.000009648,0.002207,1.08E-09,88.01,7.951E-14,1370
31,ECE740_tb_channel_CTLE_ML_1,,-0.0196,-15.26,-11.48,-6.594,-20.46,-8.66,-9.106,-24.71,-16.55,-13.17,-32.51,-29.95,-18.87,-43.29,-46.77,0,0,0,1,2,0.00000801,0.0006535,9.469E-10,1192,2.412E-13,955
32,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-31.47,-33.59,-6.581,-38.35,-38.95,-9.073,-41.5,-39.5,-13.14,-46.38,-40.65,-18.84,-51.54,-43.23,0,0,0,1,2,0.000002414,0.002027,2.555E-09,746.6,3.011E-14,1132
33,ECE740_tb_channel_CTLE_ML_1,,-0.01959,-49.59,-41.9,-6.596,-42.4,-30.28,-9.107,-45.74,-36.66,-13.17,-52.8,-49.4,-18.87,-62.2,-64.83,0,0,0,1,2,0.000007743,0.001397,1.264E-09,1401,1.723E-13,609.3
34,ECE740_tb_channel_CTLE_ML_1,,-0.01959,-35.66,-26.61,-6.594,-47.44,-35.11,-9.105,-52.32,-43.1,-13.17,-57.37,-53.62,-18.87,-63.33,-65.58,0,0,0,1,2,0.000007563,0.0008035,7.396E-10,1493,2.211E-13,477.2
35,ECE740_tb_channel_CTLE_ML_1,,-0.01965,-34.81,-30.37,-6.586,-41.9,-29.44,-9.091,-44.82,-33.48,-13.17,-49.91,-42.24,-18.88,-57.09,-54.69,0,0,0,1,2,0.000005288,0.001413,4.451E-10,967.2,4.12E-13,654.4
36,ECE740_tb_channel_CTLE_ML_1,,-0.01965,-54.99,-51.25,-6.587,-59.9,-46.08,-9.094,-58.15,-46.5,-13.17,-58.58,-51.18,-18.88,-62.35,-60.42,0,0,0,1,2,0.000005543,0.001976,1.07E-09,1218,6.787E-13,1098
37,ECE740_tb_channel_CTLE_ML_1,,-0.01954,-35.46,-31.29,-6.604,-44.42,-34.4,-9.111,-49.73,-44.73,-13.17,-57.62,-58.45,-18.86,-66.4,-73.24,0,0,0,1,2,0.000009698,0.002288,2.481E-10,589.6,7.062E-13,430.8
38,ECE740_tb_channel_CTLE_ML_1,,-0.01971,-9.177,-17.3,-6.581,-3.756,1.162,-9.087,-6.598,-1.817,-13.16,-12.19,-8.577,-18.88,-21.16,-20.45,0,0,0,2,2,0.000004262,0.002364,3.9E-10,271.7,8.694E-13,1139
39,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-35.91,-25.56,-6.581,-42.53,-32.12,-9.075,-45.12,-34.6,-13.14,-49.08,-38.69,-18.85,-53.64,-44.9,0,0,0,1,2,0.000002933,0.001596,2.862E-09,1097,1.924E-13,78.26
40,ECE740_tb_channel_CTLE_ML_1,,-0.01976,-12.41,-24.85,-6.579,-12.42,-18.32,-9.068,-14.2,-19.42,-13.13,-17.18,-21.33,-18.81,-20.03,-21.5,0,0,0,2,2,0.000001335,0.0009048,1.573E-09,224.3,2.886E-13,917.8
41,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-4.879,-9.253,-6.576,-1.899,3.609,-9.08,-3.669,2.88,-13.16,-8.897,-3.045,-18.88,-17.63,-14.47,0,0,0,2,2,0.000003892,0.001257,6.251E-10,426.1,2.776E-13,910
42,ECE740_tb_channel_CTLE_ML_1,,-0.01968,-4.278,-8.256,-6.591,1.216,10.04,-9.116,-3.508,3.564,-13.18,-11.95,-9.229,-18.88,-22.7,-25.15,0,0,0,2,2,0.000007212,0.001107,1.676E-09,440.4,4.409E-13,1009
43,ECE740_tb_channel_CTLE_ML_1,,-0.01954,5.914,14.03,-6.606,-0.8476,8.388,-9.119,-6.46,-0.4756,-13.17,-15.62,-15.12,-18.87,-26.93,-32.28,0,0,0,2,2,0.000009021,0.0006123,2.598E-09,912.7,2.584E-13,268.8
44,ECE740_tb_channel_CTLE_ML_1,,-0.01975,-11.92,-23.83,-6.577,-9.806,-13.08,-9.067,-10.25,-11.5,-13.13,-13.69,-14.32,-18.83,-19.73,-20.7,0,0,0,2,2,0.000002486,0.001165,2.693E-10,231.2,1.512E-13,1176
