Model,Overall_RMSE,Overall_MAE,Overall_R²
MLP,0.8977391395924845,0.4890793348338766,0.9974382445867145
XGBoost,1.9127236179441496,1.3256491422653198,0.9885571599006653
LightGBM,2.0398911535267743,1.4270663278785132,0.9870357344294481
