desired_stage 1 0.1G attenuation,desired_stage 2 0.1G attenuation,desired_stage 1 3.5G attenuation,desired_stage 2 3.5G attenuation,desired_stage 1 7G attenuation,desired_stage 2 7G attenuation,desired_stage 1 14G attenuation,desired_stage 2 14G attenuation,desired_stage 1 28G attenuation,desired_stage 2 28G attenuation,predicted_stage 1 0.1G attenuation,predicted_stage 2 0.1G attenuation,predicted_stage 1 3.5G attenuation,predicted_stage 2 3.5G attenuation,predicted_stage 1 7G attenuation,predicted_stage 2 7G attenuation,predicted_stage 1 14G attenuation,predicted_stage 2 14G attenuation,predicted_stage 1 28G attenuation,predicted_stage 2 28G attenuation,fW,current,ind,Rd,Cs,Rs,mse_error
-1.8763796434579125,-0.1478570807702515,-12.854505900951459,-15.977622324652812,-30.953968597406295,-30.954594104121256,-38.43987417716216,-16.73450872448524,-7.522970878523081,-5.505751182766582,-7.038730201479394,-6.336422731773909,-12.90605605862904,-12.323853582810612,-15.890671521843407,-14.143946942365655,-22.86666120951038,-18.824625757734548,-29.399091244182163,-29.80275574715601,5.665379536225509e-06,0.0009877077148822261,2.3369112330131326e-09,730.2945461825423,1.21e-15,740.7973771674624,190.3604292725291
-2.9382465171125927,-0.09027044351401692,-10.501696024531721,-25.02638101058274,-30.28473312541826,-30.2437708459709,-31.828053354106817,-25.905042246358093,-10.713516948409696,-13.367418415864929,-9.147615372037514,-7.909786879977303,-15.175813929284963,-14.977721480554614,-18.47456646605061,-18.44921467383813,-25.131521696048974,-21.69193510362532,-31.6425117671221,-32.241550655885916,5.7817789420537785e-06,0.0010248078544409117,2.3869636543630333e-09,730.131836908001,1.21e-15,740.7928261600273,135.79651272132327
-1.1644413158328617,-2.5815184180438746,-23.157095897359586,-21.418706544531858,-23.172737099299606,-14.63803179319498,-34.636762211226454,-26.18766298421039,-7.687061231261879,-17.983945216100842,-7.743161440390892,-6.90616908162253,-13.643546492055421,-13.001496228113492,-16.755785970077852,-15.299622208756047,-23.689435243150857,-19.677009023367937,-30.141812304137698,-30.47992277796008,5.663874957043517e-06,0.0010017835166372649,2.331616950587084e-09,730.1857263392466,1.21e-15,740.7952590115735,108.75520610251178
-1.177365444295685,-2.4884276289381253,-28.476296537505796,-7.7742540609151725,-9.958264486277454,-14.035831571295812,-31.818074160003263,-37.37652701778853,-5.955365119980721,-10.558723968071119,2.794221522248902,3.65380068535746,1.6410361422344524,15.40859302137047,-1.507761118756033,10.50636359349243,-12.992106017261804,-1.681191246202963,-13.407668795922298,-3.6870199300462168,1e-06,0.0005003000000013347,2.9999980393166867e-09,729.6486300804529,1.21e-15,740.777987847925,390.30601677740094
-2.6338852954656637,-1.5144692696661894,-29.19451766991824,-8.700988222108688,-28.289058737166762,-17.818809599848187,-31.62744049623842,-26.030972951164003,-8.549044131585745,-15.37364496878856,-11.992017158490686,-13.863986635126334,-19.31398790775413,-5.579422482574541,-18.04091647191882,-8.041435596807892,-25.516817846748882,-17.750089424323505,-30.022732814616113,-23.3992421365482,3.0128900470250006e-06,0.0012145141272879925,2.333513826430337e-09,730.2651819173925,1.21e-15,740.7976948970626,117.95179711613105
-0.09124611670632454,-0.6746015299166563,-7.994116291741996,-9.04045897093318,-19.49465984949213,-11.093035463145512,-37.62309139488544,-34.73590031542176,-18.007013331147252,-12.724269961804834,2.7970954776683588,3.655134011606533,1.640412382323297,15.409711788085724,-1.5096915101844068,10.514328778136546,-12.987668100002526,-1.6784191672986406,-13.408872531784308,-3.6883590975934526,1e-06,0.0005003000000022239,2.999997798974845e-09,730.2999999977106,1.21e-15,740.7999999999186,331.0553120296543
-1.833968130931554,-2.185952904678312,-10.588481323134356,-21.64376682885606,-27.714525360277154,-20.926262475457143,-36.214775317177875,-18.452989096946496,-17.453974860199523,-0.24731237571424458,-13.771293451915874,-19.19849828270322,-17.01177761295783,-1.3659709049501867,-16.27013496139658,-11.330757581114096,-16.97192524404945,-17.121444938846857,-25.50986034544045,-18.710881732664802,1.4092312297486627e-06,0.001398351503395627,1.7635650536384478e-09,730.155724417772,4.662511777340738e-14,740.794369401452,188.52829377282615
-0.6832656921100275,-2.4038529553974826,-29.87065545061386,-10.899446961302417,-16.669068501999746,-16.094657111193076,-19.283678488015497,-38.01116065442233,-12.099336359655018,-16.67470953735605,-10.478543258402931,-11.304756809403244,-16.955403863294816,-7.669446648974137,-17.993888488010125,-7.738292136588748,-26.562796586413807,-17.745782792702258,-30.995353175503418,-25.440526002342867,3.831615997720468e-06,0.0011323798067764247,2.0624207507313743e-09,730.2591209663336,1.21e-15,740.7985657683416,132.15642511558733
-0.41068972237321955,-1.1301056195173262,-22.2493755638764,-28.511272761250467,-26.935295450947734,-26.56702090988037,-20.4027780498396,-22.875206319398977,-2.127167675010483,-9.954026511445637,-6.3768001367421325,-4.866331937417984,-12.901022992382533,-16.295279430422447,-15.336083110308186,-18.528672366190513,-21.352450014229742,-19.803958993924283,-28.356556627542847,-33.3327476081118,6.5186207483479146e-06,0.0009454770956426491,1.6843799789192935e-09,730.2936023327262,1.21e-15,740.7988231307737,173.02127055810055
-2.641217262185095,-0.8602656383310148,-12.180131806246411,-16.85320420132969,-15.006508122238369,-22.194398799482254,-25.95939620279964,-28.516248246889358,-18.380595269606363,-16.825167686906276,-5.599514291489265,-4.554851978126668,-11.809114340435041,-15.234950654051453,-14.298068164556861,-16.548969341342904,-20.333185449907702,-19.05774878504216,-28.051208797686936,-31.015317309361297,6.384812156100006e-06,0.0009353285625905651,2.446612227375167e-09,730.2890338075554,1.21e-15,740.7969972785626,47.35292208023534
